channel,ecm,sigma_born,err_born,rc,wall_s
ddss,157.0,163.06092921963744,0.44449825130021575,0,103.4
ddss,158.0,164.59041988489676,4.16650872933523,0,103.0
ddss,159.0,156.29050558023363,0.38165724612301516,0,101.9
ddss,160.0,153.85163052380844,0.7856887118830598,0,101.6
ddss,161.0,150.14877648092713,0.3540529724307777,0,103.2
ddss,162.0,147.50845037554183,0.36486461846606305,0,102.4
ddss,163.0,145.6758703424564,0.6654434973921423,0,102.0
uucc,157.0,691.2052643926742,2.3358036298802323,0,102.1
uucc,158.0,699.673324292785,10.124436474193947,0,103.1
uucc,159.0,668.0259001151388,2.912105733757208,0,101.8
uucc,160.0,661.7515933800651,3.189890200976209,0,102.2
uucc,161.0,652.0918325455972,4.938138243799944,0,101.7
uucc,162.0,637.9568251616042,2.805766499339867,0,102.6
uucc,163.0,628.0070855640414,3.227601551641823,0,102.3
