channel,ecm,sigma_born,err_born,rc,wall_s
ccss,157.0,560.2271994064749,1.302360541524636,0,110.0
ccss,158.0,592.0705365729029,1.5370858533742136,0,108.7
ccss,159.0,642.5284713127243,1.283461822620896,0,108.8
ccss,160.0,724.4492606524167,1.5248871033282183,0,108.4
ccss,161.0,852.7018758139966,1.5132232101943544,0,109.1
ccss,162.0,1002.6872600856888,1.6286549470371943,0,108.7
ccss,163.0,1153.0275294636679,2.027119988775753,0,109.9
qqqq,157.0,149.09429769509674,0.1731952402276437,0,89.7
qqqq,158.0,187.56144116210572,0.21881923316405688,0,89.2
qqqq,159.0,246.43026061640458,0.2840260364876358,0,89.4
qqqq,160.0,339.2075937063234,0.37659421007080657,0,89.2
qqqq,161.0,471.0167231347294,0.48693190401699754,0,89.8
qqqq,162.0,629.2078526854967,0.5992676159603595,0,89.7
qqqq,163.0,782.3647908264892,0.6959709669685091,0,89.6
uudd,157.0,558.1239973894953,1.2342923512589297,0,108.8
uudd,158.0,593.3002721614523,1.8045465649608083,0,110.0
uudd,159.0,644.7701665071849,1.7845863795820054,0,109.7
uudd,160.0,726.6423967827324,1.680150878595803,0,108.9
uudd,161.0,852.458021616308,1.9137911523092683,0,108.5
uudd,162.0,1003.1016676064123,1.6264796375186863,0,108.9
uudd,163.0,1150.3852647457,1.9478619740887482,0,109.2
